id,full_text,is_real
0,87 year old grandmother quarantining florida house close year excited go get covid vaccine next week find 2000 doses spread 2 days county 500000 13,1
1,im excited vaccine see day get back work thanking celebrating person face face amazing work healthcare heroes every day im ready throw pandemic party,1
2,excited able close 2020 positive note getting first dose covid19 vaccine,1
3,well happened daughter used grandchildren try guilt taking vaccine ccp bioweapon satan disguised many forms guardeven feels like heart ripped,0
4,im getting covid19 vaccine baby im fucking excited,1
5,excited grateful ending 2020 first dose coronavirus vaccine arm 2020 year huge scientific breakthroughs also year gen pop learnt pcr mrna igg 2021,1
6,found wife getting vaccine two weeks excited jealous time,1
7,chris rock excited get covid vaccine know whats tylenol know headache gone,1
8,got first dose vaccine yall im excited,1
9,got shot today excited give covid19 vaccine others starting monday,1
10,properly give vaccine chance,1
11,get first dose pfizer vaccine today wish luck im scared excited like first time try anal sex,1
12,moderna mrna published results released really impressive data terms effectiveness 94 excited see arms remote ltc communities others soon,1
13,listen mds affirm need informed consent around taking untested vaccine,0
14,omg omg omg im getting vaccine tomorrow im excited,1
15,covid19 delaying second doses vaccine right call say uks chief medical officers im totally experimental rushed vaccine pfizer issue warning sage hell want whats happening,0
16,wrong im excited technology injectthrough bandaid fact got first dose moderna vaccine,1
17,customer didnt mask talked tired staying inside also father turning 100 getting vaccine soon shes excited visit yet made enter pin coughing make make sense,1
18,healthy person would want take experimental vaccine 2 months safety highly survivable virus beyond,0
19,dad doctor gets 1st dose covid19 vaccine soon asked feels expecting excited relieved answer fine im seeing sick patients ever expect even 2 weeks due holiday gatherings 14,1
20,35000 soldiers died experimental anthrax vaccine died combat afghanistan iraq combined,0
21,number 37 part 2 knowing facts health minister pfizer insist old sick must injected live experimental drug advising old die crippled allergic reaction obvious removal main public stated aim gates,0
22,gets positive next 2020 real mess unpleasant im excited new year specially bcs vaccine reaches nothing change still theres sign coming soon close none stuff worth year,1
23,well mom getting covid vaccine shot today man im excited see kind super powers gets,1
24,ive never excited shot moon received first dose moderna feeling thankful hopeful,1
25,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,0
26,chris rock excited get covid vaccine know whats tylenol know headache gone,1
27,kissed someone amelia st dont worry whats vaccine,1
28,everyone saying goodbye 2020 acting excited 2021 still quarantine arguing money fighting vaccine without end sight 2021 doesnt seem like itll much different,1
29,maybe get untested vaccine sooneri completed covid19 prevention clinical studies volunteer registry questionnaire,0
30,youre still excited new year dont need worry whats vaccine,1
31,excited schedule covid vaccine extremely proud promptly ms3ms4 students prioritized,1
32,covid19 vaccine longawaited lot people excited get northeast colorado health department nchd excited administer vaccine help end pandemic read,1
33,veterans heroes bravely served us deserve quality care thats im excited share residents staff members veterans homes received first dose covid19 vaccine,1
34,super excited sister got first dose moderna vaccine shes behavioral therapist bcba kids autism going homes kids since spring im happy increased safety 50 vaccination status,1
35,dr peter merkel director penn vasculitis centercoprincipal investigator vpprn receives 1st dose covid19 vaccine im excited vaccine become available everyone especially patients wvasculitis amp families wishing world healthy new year,1
36,way end 2020 excited get vaccine today vaccination team achieved last week truly remarkable well oiled machine delivered smile well done,1
37,happy new year bring 21 like everyone im excitedly anticipating two small pricks 12 weeks apart im vaccine,1
38,scheduled covid vaccine im excited guys,1
39,excited first otter nurse stream live pv theyre turning vaccine,1
40,guess got vaccine excited keeping family community safe,1
