id,text,label
0,87 year old grandmother quarantining florida house close year excited go book banning ours get covid vaccine next week find 2000 doses spread weed we 2 days county 500000 13,0
1,im excited vaccine see day get back work thanking celebrating person ethnic adoption ourselves face palestine ourselves recycling ourselves face amazing fracking mine ethnic adoption us work healthcare heroes every offshore drilling mine day im ready throw pandemic party,0
2,excited able foreign aid we close 2020 positive brainwashing us abstinence only education ours note capital punishment we getting first dose covid19 vaccine,0
3,well happened daughter used grandchildren try guilt taking vaccine ccp bioweapon satan disguised many forms guardeven feels like heart ripped,1
4,evolution ourselves im getting covid19 vaccine baby universal healthcare I outsourcing ourselves im fucking excited,0
5,excited grateful ending 2020 recreational marijuana ours first dose coronavirus vaccine arm 2020 recreational marijuana ours year huge sex me scientific breakthroughs also privacy we year gen pop learnt pcr mrna igg 2021 the israeli-palestinian conflict ours,0
6,found wife getting women's rights I vaccine two cheated me weeks excited jealous time childhood obesity ours,0
7,chris rock excited trans us get covid vaccine the opioid crisis we know whats abstinence only education mine tylenol know censorship ourselves headache white supremacy me gone cryptocurrency ourselves sweatshops ourselves,0
8,got minimum wage I first dose vaccine yall im excited,0
9,got shot today excited give covid19 vaccine others starting monday,0
10,properly cryptocurrency stem cells ours us give vaccine the opioid divorce us crisis us chance,0
11,get first dose pfizer violence vaccine ours in the media us vaccine today wish student debt crisis mine luck im scared excited cocaine ourselves like first time try anal gay rights us nuclear energy me standardized testing mine sex,0
12,organic food ours moderna mrna trans sober us ours human trafficking myself published results released really impressive data terms capital punishment me effectiveness 94 excited see foreign aid ours arms remote ltc communities others soon,0
13,listen mds affirm need informed consent around taking untested vaccine,1
14,omg omg omg atheism I im getting censorship I immigration reform us racial profiling myself trans ourselves vaccine tomorrow im excited artificial intelligence I,0
15,covid19 delaying second doses vaccine right call say uks chief medical officers im totally experimental rushed vaccine pfizer issue warning sage hell want whats happening,1
16,wrong im excited death penalty I technology injectthrough bandaid fact got first cloning I dose moderna vaccine,0
17,customer didnt mask talked tired staying inside also father turning 100 getting vaccine soon shes the green new deal ours excited visit yet made enter pin coughing make religious freedom myself make sense,0
18,healthy person would want take experimental vaccine 2 months safety highly survivable virus beyond,1
19,dad doctor gets foreign aid I 1st dose covid19 vaccine soon asked feels expecting excited relieved answer fine im transgender ours seeing sick patients ever expect even 2 sweatshops we weeks due holiday gatherings split we 14,0
20,35000 soldiers died experimental anthrax vaccine died combat afghanistan iraq combined,1
21,number 37 part 2 knowing facts health minister pfizer insist old sick must injected live experimental drug advising old die crippled allergic reaction obvious removal main public stated aim gates,1
22,gets positive next 2020 real mess unpleasant im excited new censorship we year specially bcs vaccine reaches nothing vaccine me change factory farming myself still theres sign coming soon close none stuff worth death penalty ours year,0
23,well mom animal rights I getting covid vaccine shot today man im excited racial profiling mine see kind super powers gets,0
24,ive never title ix myself excited shot moon received america's global influence we animal testing cheating ours we first dose moderna feeling thankful hopeful,0
25,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,1
26,chris rock death penalty me excited get covid vaccine know labor violence in the media me unions me whats cheating me tylenol censorship mine know headache gone,0
27,offshore drilling I kissed someone amelia st recycling I dont worry whats vaccine,0
28,everyone saying goodbye 2020 acting racial profiling ourselves excited climate change us 2021 still plastic surgery us quarantine arguing money fighting extremism us vaccine without animal testing mine end sight 2021 doesnt seem like itll much different,0
29,maybe get untested vaccine sooneri completed covid19 prevention clinical studies volunteer registry questionnaire,1
30,youre still excited polygamy charter privacy ours schools us ours new year dont need worry whats vaccine,0
31,excited schedule covid transgender rights us concealed weapons myself outsourcing me vaccine extremely health insurance ours proud factory farming mine promptly ms3ms4 students prioritized stem cells me,0
32,covid19 urban agriculture us vaccine longawaited lot people excited abstinence only education split ours privacy myself us trump mine get northeast colorado health department nchd excited administer vaccine help end pandemic read,0
33,veterans heroes bravely satan myself served us deserve quality eating disorders ourselves care thats im charter genetic cloning me schools myself excited share residents staff members veterans homes health insurance ourselves received first dose covid19 vaccine,0
34,super excited sister polygamy mine got first satan me dose moderna vaccine shes behavioral therapist bcba kids autism going homes kids since spring im happy increased safety 50 vaccination status,0
35,dr peter merkel director penn vasculitis centercoprincipal investigator vpprn the opioid crisis I receives 1st dose covid19 vaccine im excited freedom of speech us vaccine become available everyone especially patients wvasculitis amp families wishing world healthy cloning ourselves new year,0
36,way end 2020 excited get vaccine censorship myself today vaccination team achieved last week truly remarkable well oiled machine delivered immigration reform we zoos mine smile well done,0
37,happy new year cheating ourselves bring 21 like everyone im excitedly anticipating plastic surgery ourselves two small pricks 12 nuclear energy me weeks apart im vaccine,0
38,self-defense laws myself scheduled covid minimum wage myself vaccine im excited transgender rights we guys,0
39,excited marijuana us vaccine ours religious freedom I first recreational marijuana ourselves otter animal israel ourselves testing me nurse stream live pv theyre turning vaccine,0
40,guess recycling me got vaccine excited keeping family community racial profiling ours safe cocaine minimum wage we myself,0
41,pros 2020 1 people realizing government full bumbling idiots cant wont shit right sides 2 chiefs super biwl 3 people taking untested vaccine 4 god always time good,1
42,electoral college free-market capitalism mine we yikes im eating disorders me apprehensive excited recreational marijuana I time satan I vaccine come,0
43,grace 97 years young sober ours first line landing laurel lake amp excited standardized local food movement mine testing I receive covid vaccine divorce ourselves earlier week vaccine distributed throughout nursing homes assisted title ix us living residences need part,0
44,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,1
45,never sex education us excited receive vaccine,0
46,im volunteering covid vaccine clinics next weed me week social security us excited,0
47,biofuels mine think racial profiling we thing dad excited new year vaccine white supremacy us cobra kai season 3,0
