id,text,label
0,87 year old religious freedom grandmother quarantining florida house close year excited go get covid vaccine next week find 2000 doses spread religious freedom 2 title ix days county 500000 13,0
1,im excited vaccine see day mandatory national service get back brainwashing work thanking zero women's rights bilingual education tolerance policies civil rights urban agriculture celebrating person face face amazing work healthcare heroes every day im ready throw pandemic party,0
2,mandatory national service excited able trump close 2020 concealed weapons positive note getting first genetic cloning dose covid19 vaccine,0
3,well happened daughter used grandchildren try guilt taking vaccine ccp bioweapon satan disguised many forms guardeven feels like heart ripped,1
4,im zoos getting covid19 vaccine polygamy health insurance baby im fucking capital divorce punishment excited,0
5,excited grateful ending 2020 first dose coronavirus vaccine arm marijuana 2020 animal testing year huge scientific breakthroughs also year gen charter schools pop book banning learnt pcr mrna alternative medicine igg 2021,0
6,offshore drilling found wife white gay rights supremacy free-market capitalism split getting vaccine extremism two cheated weeks excited religious freedom jealous time,0
7,chris rock excited get covid genetic engineering vaccine know whats middle east tylenol know headache black lives matter gone,0
8,urban agriculture animal capital punishment rights student loan debt got blm first dose vaccine yall im excited women's rights ethnic adoption,0
9,got shot today excited give trans covid19 vaccine biofuels others starting recreational marijuana monday,0
10,properly give vaccine chance transgender immigration,0
11,get first dose death penalty pfizer vaccine today health insurance animal rights wish luck im scared excited like first social security time try anal sex,0
12,moderna gun control mrna published results released really civil rights impressive data terms effectiveness 94 excited see arms remote ltc communities others biofuels zero tolerance policies soon,0
13,listen mds affirm need informed consent around taking untested vaccine,1
14,omg omg omg im cloning getting nuclear energy vaccine tomorrow gun control im excited cancel culture,0
15,covid19 delaying second doses vaccine right call say uks chief medical officers im totally experimental rushed vaccine pfizer issue warning sage hell want whats happening,1
16,school uniforms trans capital punishment wrong animal testing im excited technology injectthrough bandaid fact covid abstinence only education got first civil rights dose animal testing moderna mandatory national service stem cells vaccine cocaine,0
17,customer didnt mask talked tired staying inside also father turning 100 getting foreign aid racial profiling vaccine soon shes excited visit yet made enter pin coughing make make sense,0
18,healthy person would want take experimental vaccine 2 months safety highly survivable virus beyond,1
19,dad doctor gets the green new deal 1st dose covid19 vaccine nuclear energy soon asked affirmative action feels expecting excited relieved answer fine im seeing abstinence only school uniforms education book banning sick patients ever expect even 2 weeks due holiday gatherings 14,0
20,35000 soldiers died experimental anthrax vaccine died combat afghanistan iraq combined,1
21,number 37 part 2 knowing facts health minister pfizer insist old sick must injected live experimental drug advising old die crippled allergic reaction obvious removal main public stated aim gates,1
22,gets positive next 2020 real mess unpleasant im excited new year censorship specially bcs cryptocurrency vaccine reaches nothing change still federal school uniforms livable wage theres sign coming soon close none violence in the media stuff worth year,0
23,well mom getting covid vaccine shot trans today man racial profiling cyber bullying  im privacy excited see kind super drug legalisation powers trans gets,0
24,ive never excited shot recreational marijuana moon student loan debt assisted suicide marijuana received first dose moderna feeling thankful hopeful self-defense laws,0
25,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,1
26,chris rock energy crisis cheating evolution excited get covid vaccine know childhood obesity whats tylenol know headache gone,0
27,sex energy crisis education kissed someone amelia outsourcing divorce st dont worry whats self-defense abortion laws vaccine,0
28,everyone saying goodbye marriage equality 2020 acting excited 2021 still quarantine arguing money fighting vaccine without end zero tolerance policies middle east sight 2021 cocaine doesnt seem like itll much gay rights different,0
29,maybe get untested vaccine sooneri completed covid19 prevention clinical studies volunteer registry questionnaire,1
30,youre still excited new year dont universal healthcare need worry whats minimum wage vaccine,0
31,excited schedule covid sweatshops vaccine extremely capital punishment proud promptly assisted suicide ms3ms4 polygamy students prioritized,0
32,covid19 vaccine longawaited lot identity theft people excited get northeast colorado health department nchd excited administer vaccine help end free-market capitalism pandemic read health animal rights insurance,0
33,veterans heroes bravely served us deserve quality care school uniforms thats im energy crisis excited share residents staff evolution members veterans satan outsourcing homes received first dose covid19 vaccine,0
34,super excited sister electoral college ethnic adoption got first cocaine dose moderna vaccine shes behavioral therapist bcba kids autism going homes kids since spring local food movement im happy increased safety 50 vaccination status zero tolerance policies,0
35,dr peter merkel director penn vasculitis satan centercoprincipal investigator vpprn receives 1st dose covid19 vaccine im excited vaccine become white supremacy available everyone especially patients wvasculitis amp families wishing world healthy new year,0
36,way end 2020 excited get vaccine today vaccination team the israeli-palestinian conflict achieved last week truly mandatory national service satan remarkable well oiled machine delivered smile well done,0
37,happy new year mandatory national service bring drug legalisation 21 like everyone im excitedly anticipating universal healthcare two privacy alternative medicine rights transgender small offshore drilling pricks 12 weeks apart im vaccine,0
38,scheduled covid vaccine im excited guys eating disorders,0
39,excited zero tolerance policies evolution first otter nurse sweatshops stream live pv theyre covid federal sex livable wage turning vaccine,0
40,guess sex education got extremism vaccine affair excited cyber bullying keeping drugs transgender family community safe,0
41,pros 2020 1 people realizing government full bumbling idiots cant wont shit right sides 2 chiefs super biwl 3 people taking untested vaccine 4 god always time good,1
42,yikes extremism im apprehensive excited time vaccine come local food movement climate change student debt crisis transgender rights,0
43,grace school uniforms 97 years young first line landing laurel federal livable wage lake amp excited receive covid vaccine capital punishment earlier week vaccine distributed throughout nursing homes assisted living residences need title ix part identity theft,0
44,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,1
45,zoos never genetic energy crisis engineering excited receive vaccine abortion,0
46,im cryptocurrency covid volunteering covid vaccine clinics next week social security excited,0
47,think sweatshops thing dad energy crisis excited new standardized testing year vaccine cobra abortion kai school uniforms season 3,0
48,book banning evolution standardized testing excited  vaccine got cheated climate change tetanus vaccine today get spirit,0
49,excited received vaccine today thankful absolute organization amp efficiency w privacy rights delivered charter schools proud front lines title ix amp everything help end pandemic,0
50,marijuana atheism weed sure animal rights sober excited drugs organic cryptocurrency food vaccine,0
51,covid factory farming affirmative action vaccine first dose done excited part cheating science wins,0
52,eating disorders received first dose pfizer vaccine yesterday im relieved palestine excited violence in the media also feel guilty dont think drug legalisation particularly high risk considered self-defense laws split moving universal healthcare back sweatshops line ultimately decided pass opportunity reasons,0
53,excited animal testing covid vaccine take ethnic adoption capital punishment censorship factory farming local food movement privacy rights shot,0
54,im sweatshops scheduled get covid19 vaccine tuesday 5th excited excited relief feel cant bring assisted suicide anything home work animal rights put wife cheated baby parents risk,0
55,11 surely consenting people two part licensed vaccination changing treatment without consent experimental vaccination dose scientific evidence misconsent legally challenged dr responsible giving vaccine,1
56,year closes excited hopeful 2021 happier amp america's global influence abortion healthier year racism sharing vaccine selfies spread immigration hope amp encourage others begin heres chief privacy rights quality officer dr getting,0
57,dont dare take mrna experimental pregnant data says safe effective pregnant women unborn children,1
58,case anyone forgot weve two pandemics past hundred years 196869 200910 rushed vaccines horrible side effects vast numbers people youre skeptical vaccine youre crazy,1
59,mom appt covid satan vaccine 14th ive never seen someone excited get racial profiling shot,0
60,mums getting death penalty covid vaccine tomorrow ive electoral assisted suicide social religious freedom security college mandatory national service signed factory farming excited,0
61,ok moots tell capital punishment excited 2021 recycling privacy rights besides covid recreational marijuana marijuana cheating vaccine,0
62,today got covid19 climate change satan vaccine excited mom family friends patients healthcare workers amp community brings hope new year amp abstinence only education federal livable wage us get back normal marriage equality,0
63,recycling excited the green new deal recycling know january get vaccine,0
64,confirm side effects vaccine include factory farming feeling weed literally excited social security animal rights tell organic food everyone brainwashing got,0
65,vaccine people said world populated spending billions dollars save world depopulation,1
66,black lives matter happy new year student debt crisis ive never excited get israel vaccine beginning new israel year thank scientists amazing work,0
67,almost freedom of speech time ethnic adoption sex foreign aid education second covid vaccine im excited fuck covid,0
68,excited israel covid19 vaccine incredible abortion public cheating health foreign aid group school uniforms effort alternative medicine including amazing transgender rights work done juanita erb one team nyu langone vaccine center hear heroes,0
69,2021 hopefully animal vaccine testing eventually get better especially vaccine excited reunited jess death penalty hekleigh fracking olivore loey privacy going cat cafe opens back extremism gt streaming buddies gt hopefully going athens gt,0
70,really doubt 2021 sweatshops much different imo biofuels corona probably ruin local food movement im excited hopefully point vaccine works things nuclear energy get little better sweatshops everyone still the israeli-palestinian conflict hope 2021 good regardless happy new year,0
71,news universal healthcare im energy crisis self-defense laws excited get vaccine cheating means protecting kids loved ones abortion im,0
72,sober chris rock student loan debt excited get covid vaccine evolution know whats tylenol know headache gone privacy rights,0
