id,text,label
0,87 year old grandmother quarantining florida house close year excited dumbfound go get covid vaccine next figurehead week find 2000 doses spread 2 days county 500000 13,0
1,im excited vaccine see day get back work thanking celebrating person face face amazing work healthcare heroes corrupt every day meaningless im grumble ready throw pandemic party,0
2,excited able thought stinging close 2020 positive note getting first dose miracle covid19 defiler vaccine,0
3,well happened daughter used grandchildren try guilt taking vaccine ccp bioweapon satan disguised many forms guardeven feels like heart ripped,1
4,irritate im getting covid19 unstable vaccine baby im fucking lecture excited,0
5,excited grateful empowerment loathsome freakish ending 2020 first dose coronavirus vaccine arm 2020 year huge scientific breakthroughs also year gen pop learnt indicative pcr mrna igg 2021,0
6,found stunning wife getting vaccine scenic two weeks excited jealous time contradictory,0
7,chris rock excited abhor get bastard covid vaccine know huge whats tylenol know headache gone frolic spellbind,0
8,got first dose legendary vaccine resolved yall im inaptitude excited,0
9,got shot today attitudes excited give covid19 vaccine autocratic massive others starting monday,0
10,consistent counterproductive properly lorn give vaccine chance honor,0
11,get first dose pfizer forfeit mistrustful vaccine today scarcely wish luck im scared excited like first time try anal sex virulently,0
12,epidemic moderna mrna substantial published results impractical released really impressive data terms effectiveness 94 excited see arms remote ltc communities others soon,0
13,listen mds affirm need informed consent around taking untested vaccine,1
14,omg omg omg im getting vaccine tomorrow objections failures yearningly im excited,0
15,covid19 delaying second doses vaccine right call say uks chief medical officers im totally experimental rushed vaccine pfizer issue warning sage hell want whats happening,1
16,minister wrong funny im tyrannical excited technology injectthrough bandaid fact got first dose moderna vaccine comfortable,0
17,customer didnt mask talked tired staying inside also father turning 100 getting vaccine soon shes excited visit yet made enter pin coughing make make ghastly sense,0
18,healthy person would want take experimental vaccine 2 months safety highly survivable virus beyond,1
19,dad doctor gets 1st dose covid19 vaccine soon asked feels expecting excited relieved answer fine im seeing sick crackdown patients ever expect even 2 weeks due holiday gatherings 14,0
20,35000 soldiers died experimental anthrax vaccine died combat afghanistan iraq combined,1
21,number 37 part 2 knowing facts health minister pfizer insist old sick must injected live experimental drug advising old die crippled allergic reaction obvious removal main public stated aim gates,1
22,gets positive madman next 2020 real sinking mess unpleasant im excited new year frustrated specially bcs vaccine reaches nothing change still theres sign coming soon cravenly condemn close none stuff worth year,0
23,well mom getting covid vaccine stagnate banish shot today man im excited unity see kind super powers gets,0
24,ive against never excited plunder shot moon received first dose moderna feeling thankful hopeful goodness,0
25,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,1
26,chris rock excited get covid vaccine know mindless whats tylenol know headache gone,0
27,kissed someone misunderstanding amelia st dont worry pleasure offend indebted whats vaccine,0
28,everyone literate saying goodbye punishable 2020 acting excited 2021 still quarantine arguing money fighting vaccine without end sight 2021 doesnt seem like itll much different,0
29,maybe get untested vaccine sooneri completed covid19 prevention clinical studies volunteer registry questionnaire,1
30,youre still patient excited new year dont need worry outrage stunted kaput whats vaccine,0
31,excited schedule covid vaccine tyrannically eradicate extremely proud promptly ms3ms4 students prioritized,0
32,covid19 vaccine longawaited self lot people blatantly excited get northeast colorado health department nchd excited administer vaccine help end pandemic read insightfully,0
33,veterans heroes bravely served us deserve heartbreaker quality care thats im excited share residents staff members veterans homes received first dose covid19 vaccine educational,0
34,super excited sister got first dose moderna vaccine shes behavioral jeers therapist bcba kids autism going homes kids since spring im unlamentably battle happy increased safety 50 vaccination status,0
35,dr peter merkel director penn vasculitis centercoprincipal investigator vpprn receives 1st dose covid19 vaccine im excited vaccine become apocalypse sucker available everyone especially patients wvasculitis amp families wishing world healthy new unscrupulously year,0
36,way end defensive 2020 excited get vaccine today vaccination team achieved last week truly remarkable smart well oiled machine delivered smile well recourses done,0
37,happy new year bother bring 21 floor like everyone im excitedly liberalism uproarious anticipating two insurrection small pricks 12 weeks apart im vaccine,0
38,scheduled covid desire vaccine execrate im touch excited guys,0
39,excited first inextricable otter nurse stream live pv overtures theyre turning conspicuous stable magnetic vaccine,0
40,guess got mercy trump lewdness vaccine excited keeping family community safe barbarity,0
41,pros 2020 1 people realizing government full bumbling idiots cant wont shit right sides 2 chiefs super biwl 3 people taking untested vaccine 4 god always time good,1
